"Genus","OTU","pvalue","seasoncooccurrence","Process"
"uncultured","Zotu1760",0.001,"Spring-Winter","AD"
"M2PB4-65_termite_group","Zotu1762",0.017,"Fall-Spring-Winter","AD"
"Rhizobiales_Incertae_Sedis","Zotu1767",0.001,"Fall-Summer","AD"
"Anaeromyxobacter","Zotu1770",0.001,"Spring-Winter","AD"
"uncultured","Zotu1773",0.001,"Spring-Winter","AD"
"Fervidobacterium","Zotu1779",0.021,"Fall-Summer","AD"
"Stenoxybacter","Zotu1780",0.011,"Fall-Spring-Winter","AD"
"uncultured","Zotu1784",0.001,"Spring-Winter","AD"
"Ga0077536","Zotu1786",0.001,"Spring-Winter","AD"
"Acinetobacter","Zotu1796",0.001,"Spring-Winter","AD"
"Macellibacteroides","Zotu1797",0.001,"Spring-Winter","AD"
"Bosea","Zotu1799",0.002,"Spring-Winter","AD"
"WCHB1-32","Zotu1807",0.001,"Spring-Winter","AD"
"Thiothrix","Zotu1808",0.001,"Fall-Summer","AD"
"Acetomicrobium","Zotu1812",0.001,"Spring-Winter","AD"
"Pseudorhodobacter","Zotu1816",0.007,"Fall-Spring-Winter","AD"
"Flavobacterium","Zotu1820",0.001,"Fall-Summer","AD"
"Tepidanaerobacter","Zotu1827",0.003,"Spring-Winter","AD"
"Sulfuricurvum","Zotu1829",0.005,"Fall-Spring-Winter","AD"
"Saccharimonadales","Zotu1832",0.001,"Fall-Summer-Winter","AD"
"Streptococcus","Zotu1835",0.033,"Fall-Winter","AD"
"Pseudarcobacter","Zotu1840",0.035,"Fall-Summer","AD"
"uncultured","Zotu1841",0.002,"Fall-Summer","AD"
"Flavobacterium","Zotu1843",0.002,"Fall-Summer","AD"
"uncultured","Zotu1845",0.003,"Spring-Winter","AD"
"Uruburuella","Zotu1849",0.001,"Fall-Spring-Winter","AD"
"Ottowia","Zotu1852",0.001,"Spring-Winter","AD"
"Propioniciclava","Zotu1853",0.003,"Fall-Spring-Winter","AD"
"Ferruginibacter","Zotu1860",0.028,"Fall-Summer","AD"
"Acinetobacter","Zotu1861",0.034,"Winter","AD"
"Acinetobacter","Zotu1864",0.004,"Spring-Winter","AD"
"Zoogloea","Zotu1866",0.001,"Fall-Spring-Summer","AD"
"KD1-131","Zotu1869",0.001,"Fall-Summer","AD"
"Lentimicrobiaceae","Zotu1874",0.011,"Summer","AD"
"Acinetobacter","Zotu1875",0.001,"Fall-Spring-Winter","AD"
"Comamonas","Zotu1890",0.012,"Spring-Winter","AD"
"Pleomorphomonas","Zotu1892",0.001,"Spring-Winter","AD"
"Flavobacterium","Zotu1893",0.001,"Spring-Winter","AD"
"Ottowia","Zotu1895",0.005,"Spring-Winter","AD"
"uncultured","Zotu1902",0.007,"Fall-Spring-Winter","AD"
"0319-6G20","Zotu1903",0.03,"Fall","AD"
"Hydrogenophaga","Zotu1910",0.001,"Spring","AD"
"Pseudarcobacter","Zotu1911",0.018,"Spring-Winter","AD"
"Paracoccus","Zotu1923",0.001,"Winter","AD"
"Acinetobacter","Zotu1925",0.004,"Fall-Spring-Winter","AD"
"Phaselicystis","Zotu1930",0.001,"Spring-Winter","AD"
"Flavobacterium","Zotu1931",0.008,"Spring-Winter","AD"
"uncultured","Zotu1934",0.022,"Fall-Spring-Winter","AD"
"Streptococcus","Zotu1936",0.009,"Fall-Spring-Winter","AD"
"Rhodobacter","Zotu1937",0.002,"Fall-Spring-Winter","AD"
"Runella","Zotu1939",0.047,"Fall-Spring-Winter","AD"
"Luteolibacter","Zotu1945",0.003,"Fall-Spring-Winter","AD"
"Candidatus_Bealeia","Zotu1952",0.014,"Fall-Spring-Winter","AD"
"Raoultella","Zotu1965",0.003,"Fall-Spring-Winter","AD"
"Flavobacterium","Zotu1977",0.02,"Fall-Summer","AD"
"SM2D12","Zotu1991",0.032,"Fall-Spring-Winter","AD"
"[Agitococcus]_lubricus_group","Zotu1998",0.001,"Spring-Winter","AD"
"uncultured","Zotu2006",0.001,"Fall-Summer","AD"
"Microbacterium","Zotu2007",0.039,"Fall","AD"
"SH-PL14","Zotu2009",0.002,"Fall-Spring-Winter","AD"
"uncultured","Zotu2016",0.001,"Spring-Winter","AD"
"Ottowia","Zotu2017",0.001,"Fall-Spring-Winter","AD"
"Pseudopelobacter","Zotu2022",0.005,"Spring","AD"
"Beggiatoa","Zotu2024",0.025,"Spring","AD"
"Hymenobacter","Zotu2027",0.034,"Fall-Summer","AD"
"Acinetobacter","Zotu2039",0.001,"Fall-Spring-Winter","AD"
"Trichococcus","Zotu2040",0.001,"Spring-Winter","AD"
"Lysobacter","Zotu2041",0.007,"Fall-Summer","AD"
"Tolumonas","Zotu2043",0.03,"Spring","AD"
"mle1-27","Zotu2044",0.023,"Fall-Spring-Winter","AD"
"mle1-27","Zotu2045",0.005,"Fall-Spring-Winter","AD"
"Haliangium","Zotu2047",0.016,"Fall-Summer","AD"
"Enhydrobacter","Zotu2062",0.013,"Fall-Summer","AD"
"Ruminiclostridium","Zotu2063",0.002,"Fall-Summer","AD"
"Uliginosibacterium","Zotu2071",0.008,"Fall-Spring-Winter","AD"
"env.OPS_17","Zotu2072",0.022,"Fall-Winter","AD"
"Christensenellaceae_R-7_group","Zotu2073",0.001,"Spring-Winter","AD"
"Romboutsia","Zotu2085",0.001,"Fall-Summer","AD"
"env.OPS_17","Zotu2088",0.001,"Winter","AD"
"Mitochondria","Zotu2094",0.001,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu2097",0.01,"Fall","AD"
"KD1-131","Zotu2108",0.027,"Fall-Spring-Winter","AD"
"Bifidobacterium","Zotu2110",0.001,"Spring-Winter","AD"
"C39","Zotu2122",0.001,"Fall-Summer","AD"
"Defluviitalea","Zotu2126",0.001,"Spring-Winter","AD"
"Neisseria","Zotu2127",0.005,"Fall-Summer","AD"
"Pseudomonas","Zotu2128",0.001,"Spring-Winter","AD"
"Sphingomonas","Zotu2129",0.002,"Spring","AD"
"[Agitococcus]_lubricus_group","Zotu2131",0.002,"Spring-Winter","AD"
"Flavobacterium","Zotu2141",0.001,"Spring-Winter","AD"
"Clostridium_sensu_stricto_1","Zotu2146",0.003,"Fall-Spring-Winter","AD"
"uncultured","Zotu2147",0.005,"Spring-Winter","AD"
"Saccharimonadales","Zotu2150",0.042,"Spring-Winter","AD"
"Streptococcus","Zotu2155",0.001,"Spring-Winter","AD"
"Candidatus_Electronema","Zotu2156",0.001,"Spring-Winter","AD"
"Rhodoferax","Zotu2174",0.002,"Fall-Spring-Winter","AD"
"Caldicoprobacter","Zotu2176",0.007,"Spring","AD"
"Cloacibacterium","Zotu2183",0.002,"Fall-Spring-Winter","AD"
"Romboutsia","Zotu2185",0.039,"Fall-Spring-Winter","AD"
"uncultured","Zotu2199",0.001,"Spring-Winter","AD"
"Cloacibacterium","Zotu2200",0.016,"Fall-Summer","AD"
"Acetomicrobium","Zotu2211",0.016,"Fall-Spring-Winter","AD"
"Trichococcus","Zotu2213",0.006,"Fall-Summer","AD"
"Comamonas","Zotu2214",0.003,"Fall-Spring-Winter","AD"
"Candidatus_Berkiella","Zotu2215",0.001,"Spring-Winter","AD"
"Desulfobulbus","Zotu2225",0.019,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu2227",0.003,"Winter","AD"
"Lactococcus","Zotu2238",0.001,"Spring-Winter","AD"
"Paracoccus","Zotu2239",0.013,"Winter","AD"
"Malikia","Zotu2245",0.001,"Spring-Winter","AD"
"Tolumonas","Zotu2251",0.004,"Fall-Spring-Winter","AD"
"Cephaloticoccus","Zotu2252",0.001,"Fall-Spring-Winter","AD"
"WCHB1-32","Zotu2258",0.019,"Fall","AD"
"Acinetobacter","Zotu2262",0.011,"Spring-Winter","AD"
"Pseudomonas","Zotu2281",0.004,"Fall-Summer","AD"
"T34","Zotu2282",0.009,"Winter","AD"
"Aeromonas","Zotu2284",0.004,"Spring-Winter","AD"
"Candidatus_Accumulibacter","Zotu2288",0.009,"Spring","AD"
"Acinetobacter","Zotu2292",0.03,"Spring","AD"
"uncultured","Zotu2302",0.03,"Summer","AD"
"Flavobacterium","Zotu2309",0.015,"Summer","AD"
"Paludibacter","Zotu2310",0.012,"Spring-Winter","AD"
"Acinetobacter","Zotu2315",0.008,"Fall-Spring-Winter","AD"
"Romboutsia","Zotu2316",0.001,"Fall-Summer","AD"
"Methylotenera","Zotu2320",0.045,"Fall-Spring-Winter","AD"
"uncultured","Zotu2326",0.044,"Fall","AD"
"Acinetobacter","Zotu2338",0.001,"Fall-Spring-Winter","AD"
"WCHB1-32","Zotu2339",0.002,"Fall-Spring-Winter","AD"
"Hydrogenispora","Zotu2345",0.026,"Summer","AD"
"Sulfurospirillum","Zotu2362",0.001,"Spring-Winter","AD"
"Paludibacter","Zotu2363",0.004,"Fall-Spring-Winter","AD"
"Streptococcus","Zotu2365",0.002,"Fall-Summer","AD"
"Stenotrophomonas","Zotu2368",0.004,"Fall-Summer","AD"
"Vitreoscilla","Zotu2374",0.001,"Fall-Summer","AD"
"Acinetobacter","Zotu2381",0.014,"Fall-Summer","AD"
"Verticiella","Zotu2392",0.007,"Winter","AD"
"Propionivibrio","Zotu2398",0.002,"Spring-Winter","AD"
"uncultured","Zotu2399",0.034,"Fall-Summer","AD"
"Emticicia","Zotu2404",0.001,"Spring-Winter","AD"
"Acinetobacter","Zotu2413",0.001,"Summer","AD"
"Paracoccus","Zotu2416",0.04,"Summer","AD"
"Caedibacter","Zotu2422",0.002,"Fall-Spring-Winter","AD"
"Streptococcus","Zotu2428",0.007,"Fall-Spring-Winter","AD"
"Propionivibrio","Zotu2429",0.001,"Fall-Spring-Winter","AD"
"uncultured","Zotu2439",0.011,"Spring-Summer","AD"
"Runella","Zotu2443",0.027,"Fall-Spring-Winter","AD"
"Dechloromonas","Zotu2444",0.016,"Spring","AD"
"Novosphingobium","Zotu2452",0.012,"Fall-Summer","AD"
"Acinetobacter","Zotu2456",0.004,"Summer","AD"
"Limnohabitans","Zotu2465",0.001,"Spring-Winter","AD"
"Pseudomonas","Zotu2466",0.007,"Fall-Summer","AD"
"Paludibacter","Zotu2467",0.001,"Spring-Winter","AD"
"Phreatobacter","Zotu2468",0.001,"Fall-Summer","AD"
"Defluviitalea","Zotu2469",0.001,"Fall-Summer","AD"
"Saccharimonadales","Zotu2471",0.001,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu2473",0.005,"Fall-Spring-Winter","AD"
"Aeromonas","Zotu2477",0.001,"Fall-Spring-Winter","AD"
"[Agitococcus]_lubricus_group","Zotu2482",0.001,"Spring-Winter","AD"
"Pedobacter","Zotu2485",0.002,"Fall-Summer","AD"
"uncultured","Zotu2490",0.001,"Fall-Summer","AD"
"Roseomonas","Zotu2494",0.001,"Spring","AD"
"Novosphingobium","Zotu2497",0.047,"Fall-Summer","AD"
"T34","Zotu2498",0.034,"Summer","AD"
"Janthinobacterium","Zotu2499",0.009,"Fall","AD"
"uncultured","Zotu2508",0.005,"Fall-Summer","AD"
"uncultured","Zotu2513",0.003,"Winter","AD"
"Comamonas","Zotu2514",0.004,"Spring","AD"
"Cytophaga","Zotu2527",0.002,"Fall-Spring-Winter","AD"
"Hydrogenedensaceae","Zotu2531",0.018,"Fall-Summer","AD"
"Veillonella","Zotu2542",0.001,"Spring-Winter","AD"
"Propioniciclava","Zotu2544",0.001,"Spring-Winter","AD"
"uncultured","Zotu2547",0.001,"Spring-Winter","AD"
"Romboutsia","Zotu2548",0.001,"Fall-Spring-Winter","AD"
"Paludibacter","Zotu2549",0.026,"Winter","AD"
"Romboutsia","Zotu2551",0.002,"Fall-Summer","AD"
"Cloacibacterium","Zotu2552",0.048,"Fall-Summer","AD"
"[Eubacterium]_coprostanoligenes_group","Zotu2557",0.002,"Summer","AD"
"Devosia","Zotu2559",0.001,"Fall-Summer","AD"
"Alistipes","Zotu2568",0.016,"Fall-Summer","AD"
"Candidatus_Moranbacteria","Zotu2576",0.002,"Spring-Winter","AD"
"LCP-89","Zotu2582",0.018,"Fall-Summer","AD"
"Acinetobacter","Zotu2597",0.038,"Winter","AD"
"Bacteroides","Zotu2601",0.001,"Spring-Winter","AD"
"Limnohabitans","Zotu2607",0.012,"Fall-Summer","AD"
"Desulforhopalus","Zotu2610",0.002,"Spring-Winter","AD"
"Acinetobacter","Zotu2613",0.002,"Spring-Winter","AD"
"JG30-KF-CM45","Zotu2616",0.008,"Summer","AD"
"Pseudorhodobacter","Zotu2619",0.046,"Fall-Summer","AD"
"37-13","Zotu2623",0.038,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu2630",0.008,"Spring-Winter","AD"
"Z-35","Zotu2632",0.001,"Summer","AD"
"37-13","Zotu2633",0.015,"Fall-Spring-Winter","AD"
"Aeromonas","Zotu2642",0.009,"Spring","AD"
"Acinetobacter","Zotu2664",0.001,"Fall-Summer","AD"
"Bosea","Zotu2670",0.001,"Spring-Winter","AD"
"Fusicatenibacter","Zotu2673",0.001,"Spring-Winter","AD"
"Acinetobacter","Zotu2679",0.002,"Spring-Winter","AD"
"Bacteroides","Zotu2684",0.001,"Fall-Spring-Winter","AD"
"Soonwooa","Zotu2696",0.02,"Fall","AD"
"Candidatus_Saccharimonas","Zotu2698",0.002,"Fall-Spring-Winter","AD"
"NS11-12_marine_group","Zotu2702",0.002,"Spring-Winter","AD"
"Bifidobacterium","Zotu2704",0.006,"Spring-Winter","AD"
"MBA03","Zotu2708",0.013,"Fall-Summer","AD"
"Afipia","Zotu2717",0.007,"Fall-Spring","AD"
"Saccharimonadales","Zotu2720",0.001,"Spring-Winter","AD"
"MBA03","Zotu2724",0.012,"Fall-Summer","AD"
"Mitochondria","Zotu2730",0.004,"Summer","AD"
"uncultured","Zotu2751",0.001,"Spring-Winter","AD"
"Algoriella","Zotu2752",0.001,"Spring-Winter","AD"
"uncultured","Zotu2754",0.001,"Spring-Winter","AD"
"Dechloromonas","Zotu2758",0.001,"Fall-Summer","AD"
"Acinetobacter","Zotu2760",0.022,"Fall-Winter","AD"
"uncultured","Zotu2762",0.001,"Spring-Winter","AD"
"Limnohabitans","Zotu2769",0.03,"Fall-Summer","AD"
"Flavobacterium","Zotu2779",0.001,"Spring-Winter","AD"
"Paludibacter","Zotu2782",0.039,"Fall-Summer","AD"
"Acinetobacter","Zotu2790",0.001,"Spring-Winter","AD"
"uncultured","Zotu2791",0.049,"Fall-Spring","AD"
"Collinsella","Zotu2793",0.005,"Fall-Summer","AD"
"Candidatus_Accumulibacter","Zotu2797",0.002,"Fall-Summer","AD"
"Luteolibacter","Zotu2799",0.001,"Spring","AD"
"Agathobacter","Zotu2802",0.044,"Fall-Spring-Winter","AD"
"Saccharimonadales","Zotu2803",0.001,"Fall-Winter","AD"
"Christensenellaceae_R-7_group","Zotu2809",0.001,"Spring-Winter","AD"
"Novosphingobium","Zotu2814",0.007,"Spring-Winter","AD"
"Collinsella","Zotu2830",0.002,"Fall-Summer","AD"
"Weeksellaceae","Zotu2832",0.002,"Spring-Winter","AD"
"Acinetobacter","Zotu2848",0.001,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu2851",0.001,"Fall-Summer","AD"
"Lentimicrobiaceae","Zotu2852",0.001,"Spring-Winter","AD"
"Saccharimonadales","Zotu2864",0.022,"Spring-Winter","AD"
"uncultured","Zotu2867",0.011,"Fall-Summer","AD"
"Rivicola","Zotu2880",0.038,"Spring-Winter","AD"
"Propionicicella","Zotu2898",0.003,"Spring","AD"
"Iamia","Zotu2899",0.001,"Fall-Summer","AD"
"Macellibacteroides","Zotu2901",0.001,"Spring-Winter","AD"
"Rhizobacter","Zotu2909",0.002,"Spring-Winter","AD"
"Leptothrix","Zotu2913",0.012,"Spring","AD"
"Candidatus_Megaira","Zotu2916",0.01,"Spring","AD"
"Flavobacterium","Zotu2923",0.029,"Fall","AD"
"Phaselicystis","Zotu2927",0.009,"Fall-Summer","AD"
"Hymenobacter","Zotu2930",0.005,"Spring-Winter","AD"
"[Agitococcus]_lubricus_group","Zotu2934",0.005,"Spring-Winter","AD"
"Paracoccus","Zotu2941",0.002,"Fall-Summer","AD"
"Defluviitalea","Zotu2942",0.019,"Fall-Spring-Winter","AD"
"Vitreoscilla","Zotu2944",0.019,"Fall-Spring-Winter","AD"
"Desulfatiferula","Zotu2953",0.026,"Spring-Winter","AD"
"Bacteroides","Zotu2957",0.001,"Spring-Winter","AD"
"Acetomicrobium","Zotu2958",0.001,"Fall-Summer","AD"
"Z-35","Zotu2965",0.03,"Winter","AD"
"uncultured","Zotu2968",0.001,"Spring-Winter","AD"
"P3OB-42","Zotu2973",0.012,"Fall-Spring-Winter","AD"
"uncultured","Zotu2982",0.005,"Fall-Spring-Winter","AD"
"[Ruminococcus]_torques_group","Zotu2983",0.001,"Fall-Spring-Winter","AD"
"HN-HF0106","Zotu2987",0.022,"Fall-Spring-Winter","AD"
"Candidatus_Accumulibacter","Zotu2992",0.002,"Spring","AD"
"uncultured","Zotu2997",0.001,"Fall-Summer","AD"
"Microbacterium","Zotu2998",0.046,"Spring","AD"
"Tolumonas","Zotu3005",0.001,"Spring-Winter","AD"
"uncultured","Zotu3013",0.001,"Fall-Spring-Winter","AD"
"uncultured","Zotu3017",0.001,"Spring-Winter","AD"
"Arenimonas","Zotu3018",0.031,"Spring-Winter","AD"
"Lactococcus","Zotu3019",0.002,"Fall-Spring-Winter","AD"
"Vitreoscilla","Zotu3022",0.001,"Spring-Winter","AD"
"Romboutsia","Zotu3035",0.035,"Spring-Winter","AD"
"Flavobacterium","Zotu3044",0.001,"Spring-Winter","AD"
"Flavobacterium","Zotu3063",0.007,"Fall-Spring-Winter","AD"
"Leptospira","Zotu3071",0.004,"Spring-Winter","AD"
"Acinetobacter","Zotu3074",0.029,"Fall-Spring-Summer","AD"
"37-13","Zotu3076",0.003,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu3082",0.002,"Summer","AD"
"Desulfobulbus","Zotu3089",0.021,"Summer","AD"
"Cloacibacterium","Zotu3091",0.001,"Spring-Winter","AD"
"Acinetobacter","Zotu3098",0.001,"Spring-Winter","AD"
"Legionella","Zotu3102",0.041,"Winter","AD"
"Mycobacterium","Zotu3103",0.002,"Fall-Spring-Winter","AD"
"Hylemonella","Zotu3104",0.002,"Spring-Winter","AD"
"Bacteroides","Zotu3107",0.002,"Fall-Spring-Winter","AD"
"Uruburuella","Zotu3110",0.007,"Spring-Winter","AD"
"Leucobacter","Zotu3111",0.001,"Fall-Spring-Winter","AD"
"Propionivibrio","Zotu3112",0.004,"Spring-Winter","AD"
"uncultured","Zotu3126",0.004,"Spring-Winter","AD"
"Propionicicella","Zotu3129",0.008,"Fall-Spring-Winter","AD"
"Saccharimonadales","Zotu3131",0.001,"Spring","AD"
"Fluviicoccus","Zotu3133",0.04,"Summer","AD"
"Propionivibrio","Zotu3136",0.021,"Fall-Summer","AD"
"Comamonas","Zotu3137",0.003,"Summer","AD"
"Bacteroides","Zotu3139",0.033,"Summer","AD"
"Diaphorobacter","Zotu3144",0.001,"Spring-Winter","AD"
"Desulfovibrio","Zotu3157",0.001,"Fall-Summer","AD"
"Paludisphaera","Zotu3163",0.004,"Fall-Summer","AD"
"Thiobacillus","Zotu3164",0.037,"Winter","AD"
"Ferruginibacter","Zotu3165",0.03,"Spring","AD"
"Comamonas","Zotu3167",0.004,"Spring-Winter","AD"
"uncultured","Zotu3168",0.002,"Fall-Summer","AD"
"Tolumonas","Zotu3170",0.044,"Winter","AD"
"Bifidobacterium","Zotu3175",0.048,"Winter","AD"
"Flavobacterium","Zotu3185",0.031,"Fall","AD"
"Dorea","Zotu3193",0.003,"Fall-Spring-Winter","AD"
"Aeromonas","Zotu3198",0.003,"Summer","AD"
"Alicycliphilus","Zotu3200",0.022,"Spring-Winter","AD"
"Coprothermobacter","Zotu3211",0.007,"Fall-Summer","AD"
"UKL13-1","Zotu3231",0.001,"Spring-Winter","AD"
"Polaromonas","Zotu3232",0.02,"Fall-Summer","AD"
"Bacteroides","Zotu3234",0.007,"Fall-Spring","AD"
"uncultured","Zotu3241",0.001,"Spring-Winter","AD"
"Streptococcus","Zotu3243",0.014,"Fall-Spring","AD"
"Runella","Zotu3248",0.005,"Fall-Summer","AD"
"uncultured","Zotu3249",0.006,"Spring","AD"
"Paludibacter","Zotu3253",0.001,"Spring-Winter","AD"
"Tolumonas","Zotu3257",0.022,"Fall-Spring-Winter","AD"
"Propionivibrio","Zotu3258",0.002,"Fall-Summer","AD"
"uncultured","Zotu3259",0.002,"Spring-Winter","AD"
"Dysgonomonas","Zotu3263",0.012,"Spring-Winter","AD"
"uncultured","Zotu3264",0.004,"Spring-Winter","AD"
"Fluviicola","Zotu3265",0.002,"Spring-Winter","AD"
"Phenylobacterium","Zotu3271",0.004,"Fall-Summer","AD"
"Beutenbergiaceae","Zotu3283",0.003,"Fall-Summer","AD"
"uncultured","Zotu3285",0.003,"Fall-Summer","AD"
"Acinetobacter","Zotu3287",0.005,"Spring-Winter","AD"
"Prevotella","Zotu3303",0.002,"Fall-Spring-Winter","AD"
"uncultured","Zotu3307",0.012,"Fall-Summer","AD"
"Niveibacterium","Zotu3311",0.001,"Spring-Winter","AD"
"HN-HF0106","Zotu3312",0.001,"Fall-Summer","AD"
"Acinetobacter","Zotu3319",0.001,"Spring-Winter","AD"
"Acinetobacter","Zotu3321",0.026,"Fall-Summer","AD"
"Longilinea","Zotu3327",0.001,"Spring-Winter","AD"
"Ruminococcus","Zotu3328",0.039,"Fall-Spring","AD"
"Tolumonas","Zotu3330",0.002,"Fall-Summer","AD"
"uncultured","Zotu3335",0.002,"Spring","AD"
"Flavobacterium","Zotu3341",0.021,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu3345",0.005,"Spring-Winter","AD"
"Arsenicicoccus","Zotu3358",0.008,"Spring-Winter","AD"
"Ideonella","Zotu3372",0.006,"Spring","AD"
"Candidatus_Hydrogenedens","Zotu3385",0.002,"Fall-Summer","AD"
"Pajaroellobacter","Zotu3392",0.002,"Fall-Spring-Winter","AD"
"Acinetobacter","Zotu3398",0.048,"Summer","AD"
"SM2D12","Zotu3402",0.001,"Spring-Winter","AD"
"Erysipelotrichaceae_UCG-003","Zotu3408",0.025,"Fall-Summer","AD"
"Mycobacterium","Zotu3410",0.006,"Fall-Spring-Winter","AD"
"Acetomicrobium","Zotu3416",0.006,"Fall-Spring","AD"
"Cephaloticoccus","Zotu3420",0.042,"Spring-Summer","AD"
"Bifidobacterium","Zotu3422",0.001,"Spring-Winter","AD"
"Macellibacteroides","Zotu3426",0.014,"Spring-Winter","AD"
"Holdemanella","Zotu3433",0.001,"Fall-Spring-Winter","AD"
"Flavobacterium","Zotu3444",0.01,"Spring","AD"
"Novosphingobium","Zotu3445",0.026,"Fall","AD"
"Christensenellaceae_R-7_group","Zotu3446",0.002,"Fall-Summer","AD"
"Uruburuella","Zotu3448",0.001,"Fall-Summer","AD"
"Alicycliphilus","Zotu3457",0.011,"Spring","AD"
"Chiayiivirga","Zotu3469",0.03,"Fall-Summer","AD"
"0319-6G20","Zotu3474",0.005,"Summer","AD"
"uncultured","Zotu3490",0.017,"Fall","AD"
"Macellibacteroides","Zotu3495",0.048,"Winter","AD"
"Acinetobacter","Zotu3496",0.015,"Spring-Winter","AD"
"Bacteroides","Zotu3497",0.01,"Spring-Winter","AD"
"Butyrivibrio","Zotu3499",0.006,"Fall","AD"
"Pseudomonas","Zotu3513",0.002,"Spring","AD"
"Verruc-01","Zotu3517",0.002,"Fall-Spring-Winter","AD"
"SD04E11","Zotu3522",0.001,"Spring-Winter","AD"
"Thermomonas","Zotu3524",0.001,"Spring-Winter","AD"
"Christensenellaceae_R-7_group","Zotu3532",0.002,"Fall-Spring-Winter","AD"
"Phaselicystis","Zotu3535",0.018,"Fall-Spring-Winter","AD"
"Edaphobaculum","Zotu3537",0.001,"Spring-Winter","AD"
"uncultured","Zotu3538",0.004,"Spring","AD"
"Ruminococcus","Zotu3541",0.001,"Spring-Winter","AD"
"Comamonadaceae","Zotu3542",0.005,"Fall-Summer","AD"
"Citrobacter","Zotu3545",0.007,"Fall-Summer","AD"
"Mitochondria","Zotu3547",0.015,"Fall-Spring-Winter","AD"
"Macellibacteroides","Zotu3548",0.012,"Fall-Summer","AD"
"Bacteroides","Zotu3549",0.011,"Summer","AD"
"Pseudomonas","Zotu3550",0.041,"Spring-Winter","AD"
"Acinetobacter","Zotu3552",0.001,"Spring","AD"
"uncultured","Zotu3554",0.013,"Winter","AD"
"Acinetobacter","Zotu3564",0.002,"Spring-Winter","AD"
"Sphingomonas","Zotu3569",0.016,"Fall-Spring-Winter","AD"
"SM2D12","Zotu3572",0.001,"Spring-Winter","AD"
"Longilinea","Zotu3579",0.045,"Spring-Winter","AD"
"Novosphingobium","Zotu3584",0.041,"Fall","AD"
"Herbinix","Zotu3586",0.001,"Spring-Winter","AD"
"Pseudomonas","Zotu3592",0.001,"Fall-Spring-Winter","AD"
"Z-35","Zotu3597",0.007,"Fall-Spring-Winter","AD"
"Macellibacteroides","Zotu3598",0.005,"Spring-Winter","AD"
"Fluviicola","Zotu3611",0.013,"Summer","AD"
"Lentimicrobiaceae","Zotu3618",0.001,"Fall-Summer","AD"
"Arcobacter","Zotu3623",0.024,"Spring-Winter","AD"
"Candidatus_Megaira","Zotu3635",0.027,"Spring","AD"
"Sulfuricurvum","Zotu3642",0.001,"Spring-Winter","AD"
"[Ruminococcus]_torques_group","Zotu3647",0.004,"Fall","AD"
"uncultured","Zotu3652",0.007,"Fall-Spring-Winter","AD"
"Anaerofustis","Zotu3666",0.005,"Spring","AD"
"Tolumonas","Zotu3672",0.001,"Fall-Spring-Winter","AD"
"Fluviicoccus","Zotu3675",0.001,"Fall-Summer","AD"
"Sericytochromatia","Zotu3677",0.006,"Fall-Summer","AD"
"Desulfatiferula","Zotu3682",0.002,"Spring-Winter","AD"
"Vitreoscilla","Zotu3691",0.001,"Spring-Winter","AD"
"Zoogloea","Zotu3701",0.001,"Fall-Spring-Winter","AD"
"Microbacterium","Zotu3702",0.003,"Spring-Winter","AD"
"B55-F-B-G02","Zotu3703",0.005,"Fall-Spring-Winter","AD"
"Rhodobacter","Zotu3708",0.039,"Fall-Winter","AD"
"Clostridium_sensu_stricto_1","Zotu3717",0.001,"Spring-Winter","AD"
"Vitreoscilla","Zotu3738",0.012,"Fall-Summer","AD"
"Peredibacter","Zotu3750",0.001,"Spring-Winter","AD"
"SM2D12","Zotu3755",0.008,"Fall-Spring-Winter","AD"
"Candidatus_Magasanikbacteria","Zotu3758",0.001,"Spring-Winter","AD"
"AKYH767","Zotu3777",0.003,"Summer","AD"
"Arcicella","Zotu3788",0.003,"Spring-Winter","AD"
"Tolumonas","Zotu3791",0.001,"Fall-Spring-Winter","AD"
"Paludisphaera","Zotu3795",0.026,"Summer","AD"
"Candidatus_Falkowbacteria","Zotu3805",0.049,"Fall","AD"
"Acinetobacter","Zotu3811",0.001,"Spring-Winter","AD"
"Actinomyces","Zotu3817",0.001,"Fall-Spring-Winter","AD"
"Saccharofermentans","Zotu3820",0.015,"Fall-Summer","AD"
"mle1-27","Zotu3824",0.006,"Fall-Summer","AD"
"Defluviitalea","Zotu3827",0.001,"Spring-Winter","AD"
"JGI-0000079-D21","Zotu3828",0.001,"Summer","AD"
"Keratinibaculum","Zotu3839",0.007,"Fall-Spring","AD"
"UCG-010","Zotu3844",0.003,"Fall-Spring-Winter","AD"
"Pseudarcobacter","Zotu3845",0.021,"Summer","AD"
"Stenotrophomonas","Zotu3849",0.038,"Fall-Summer","AD"
"Flavobacterium","Zotu3860",0.02,"Fall-Summer","AD"
"uncultured","Zotu3875",0.001,"Spring-Winter","AD"
"Propionivibrio","Zotu3885",0.03,"Fall","AD"
"Comamonas","Zotu3891",0.012,"Fall-Spring","AD"
